ID,Pred
2021_3104_3112,0.15432956970871248
2021_3104_3116,0.27949451589028385
2021_3104_3124,0.04909455568296623
2021_3104_3125,0.8108478191251919
2021_3104_3133,0.7854476620591417
2021_3104_3140,0.6762371443251143
2021_3104_3141,0.7794780239250425
2021_3104_3163,0.02861382509503824
2021_3104_3180,0.9056982939764417
2021_3104_3195,0.6078806252312504
2021_3104_3199,0.526280490582239
2021_3104_3208,0.27949451589028385
2021_3104_3210,0.41746385403393305
2021_3104_3211,0.3314887123258291
2021_3104_3219,0.9555908967213982
2021_3104_3226,0.7883881100771086
2021_3104_3231,0.1864771963557553
2021_3104_3234,0.3314887123258291
2021_3104_3235,0.3353862850978559
2021_3104_3238,0.9400954317661041
2021_3104_3246,0.30116604143836045
2021_3104_3250,0.9143093998155912
2021_3104_3257,0.11211614555397424
2021_3104_3265,0.9100967176457002
2021_3104_3266,0.5175293009801181
2021_3104_3268,0.05990456823389587
2021_3104_3273,0.9540784956016699
2021_3104_3276,0.36734329388188175
2021_3104_3277,0.5350155641352708
2021_3104_3283,0.3714282104498325
2021_3104_3291,0.9624659545050284
2021_3104_3292,0.871185012581787
2021_3104_3299,0.9517176792423393
2021_3104_3301,0.10046568199024476
2021_3104_3314,0.56
2021_3104_3321,0.3592308332785414
2021_3104_3329,0.4432519782579191
2021_3104_3332,0.18383146485673493
2021_3104_3333,0.3276141065005505
2021_3104_3353,0.3276141065005505
2021_3104_3355,0.6203470811722838
2021_3104_3372,0.6285717895501676
2021_3104_3376,0.043670825838675965
2021_3104_3377,0.5306503748493193
2021_3104_3378,0.5306503748493193
2021_3104_3390,0.0
2021_3104_3392,0.9270876967289966
2021_3104_3393,0.45192364595646756
2021_3104_3397,0.2724865301640797
2021_3104_3400,0.3879473461795225
2021_3104_3401,0.16370801245627226
2021_3104_3407,0.8769745430534699
2021_3104_3413,0.8631060756186575
2021_3104_3416,0.6036927814453655
2021_3104_3417,0.1249300138991658
2021_3104_3430,0.981352988049171
2021_3104_3433,0.8610208453108965
2021_3104_3439,0.4389287427672331
2021_3104_3448,0.5867945329541484
2021_3104_3450,0.526280490582239
2021_3104_3452,0.3714282104498325
2021_3104_3460,0.8524124323750123
2021_3104_3461,0.8825389493059541
2021_3112_3116,0.6800646639002768
2021_3112_3124,0.22052197607495794
2021_3112_3125,0.9591667348809058
2021_3112_3133,0.9525171473222721
2021_3112_3140,0.9196478401140245
2021_3112_3141,0.9509054443170339
2021_3112_3163,0.13897915468910374
2021_3112_3180,0.981352988049171
2021_3112_3195,0.894678941489563
2021_3112_3199,0.8589090441192292
2021_3112_3208,0.6800646639002768
2021_3112_3210,0.7970319307489835
2021_3112_3211,0.730975958186144
2021_3112_3219,0.9915903044876058
2021_3112_3226,0.9533040271632333
2021_3112_3231,0.5567480217420816
2021_3112_3234,0.730975958186144
2021_3112_3235,0.7344105107388988
2021_3112_3238,0.9885048457683334
2021_3112_3246,0.7025118579855629
2021_3112_3250,0.9831839960525354
2021_3112_3257,0.4089600231629116
2021_3112_3265,0.9822917158772179
2021_3112_3266,0.8546050121300498
2021_3112_3268,0.25880491983596965
2021_3112_3273,0.9912927317963427
2021_3112_3276,0.7608614546164592
2021_3112_3277,0.8631060756186575
2021_3112_3283,0.7640376303338269
2021_3112_3291,0.992933438605141
2021_3112_3292,0.9737251416337188
2021_3112_3299,0.990826697816034
2021_3112_3301,0.3796529188277162
2021_3112_3314,0.8769745430534699
2021_3112_3321,0.754421621853542
2021_3112_3329,0.813522803644245
2021_3112_3332,0.552416173270057
2021_3112_3333,0.7275134698359208
2021_3112_3353,0.7275134698359208
2021_3112_3355,0.8995343180097553
2021_3112_3372,0.9026598268409164
2021_3112_3376,0.2001459285039316
2021_3112_3377,0.8610208453108965
2021_3112_3378,0.8610208453108965
2021_3112_3390,0.0
2021_3112_3392,0.98
2021_3112_3393,0.8187850907143425
